1;8.7
1;9.0
1;9.1
0;9.7
0;9.9
0;10.1
1;10.6
1;10.8
1;11.0
1;11.2
1;11.3
0;11.7
0;11.9
0;12.1
0;12.4
1;13.0
0;13.3
1;13.8
1;14.1
1;14.2
1;14.4
0;14.9
0;15.4
0;15.8
1;16.4
1;16.6
1;16.8
0;17.2
1;17.5
0;17.8
1;18.1
1;18.3
0;18.5
1;19.0
1;19.2
1;19.4
0;19.6
1;19.7
1;19.9
0;20.1
1;20.1
0;20.2
1;20.7
1;21.1
0;21.5
1;21.9
0;22.1
1;22.3
0;22.4
1;22.5
0;22.6
1;22.7
0;22.8
1;22.9
1;23.0
0;23.0
0;23.5
1;23.9
0;24.2
1;24.8
1;25.6
1;25.9
1;26.3
0;26.5
1;26.7
0;26.9
0;27.2
1;27.5
0;27.9
0;28.1
0;28.5
0;28.7
0;29.0
1;29.3
1;29.6
1;30.0
1;30.4
0;30.8
1;31.0
1;31.2
1;31.5
0;31.8
1;32.0
0;32.2
1;32.3
0;32.5
1;32.5
0;32.7
1;32.9
0;33.0
1;33.0
0;33.2
1;33.2
1;33.4
0;33.4
1;33.5
0;33.7
0;34.1
0;34.6
0;35.1
0;35.7
0;36.3
0;36.9
1;37.9
1;38.5
1;39.1
1;39.6
1;40.2
1;40.7
1;41.2
1;42.3
0;42.7
1;43.3
0;43.8
1;44.3
0;44.5
1;44.5
1;44.7
0;45.2
0;45.6
1;46.4
0;47.0
1;47.5
0;48.1
1;48.2
0;48.3
1;48.5
0;48.9
1;49.4
0;49.9
0;50.8
1;51.2
0;51.7
1;52.2
0;52.8
1;53.4
0;53.9
0;54.4
0;54.5
1;54.9
0;55.4
1;55.9
0;56.5
1;56.6
0;56.7
1;56.8
0;57.0
0;57.5
0;58.1
0;58.6
1;59.6
1;59.8
1;60.1
0;60.5
1;60.6
0;60.8
1;61.0
0;61.2
1;61.6
1;61.9
0;62.3
1;62.6
0;63.0
1;63.3
0;63.7
1;63.9
0;64.2
1;64.5
0;64.8
1;65.0
0;65.2
1;65.3
0;65.5
1;65.6
0;65.8
0;66.2
0;66.6
0;67.0
0;67.4
1;67.9
0;68.1
1;68.2
0;68.5
1;68.8
0;69.1
1;69.4
0;69.6
1;69.7
0;69.9
1;70.2
0;70.6
1;70.9
0;71.2
1;71.5
0;71.7
1;71.7
0;71.9
1;71.9
0;72.2
1;72.5
0;72.8
1;73.2
0;73.5
1;73.9
0;74.1
1;74.2
0;74.3
1;74.4
0;74.8
1;75.2
0;75.5
1;75.8
0;76.2
1;76.5
0;76.6
1;76.7
0;77.0
1;77.1
0;77.4
0;78.0
0;78.4
1;78.6
0;78.7
1;78.9
0;79.1
0;79.5
1;79.9
1;80.3
1;80.7
1;81.1
0;81.4
1;81.5
0;81.7
1;81.8
0;81.9
1;81.9
0;82.1
0;82.5
0;82.9
1;83.1
0;83.4
1;83.7
1;84.0
1;84.5
0;85.0
1;85.3
0;85.6
1;85.9
0;86.1
1;86.2
0;86.3
1;86.5
0;86.8
0;87.1
0;87.4
1;87.7
1;87.9
1;88.2
0;88.6
1;88.8
0;89.2
1;89.5
0;89.8
1;90.0
0;90.3
1;90.5
0;90.8
1;91.1
0;91.3
1;91.4
0;91.6
1;91.7
0;92.0
